16237	20190422134256	1	13	2	5100
2643	20190419111933	2	5	1	650
70654	20190418225424	2	13	2	8789
231400	20190418093032	2	10	1	2988
18580	20190410000000	1	5	2	8555
57903	20190411211143	2	5	1	10000
215972	20190422174820	1	5	1	2000
19817	20190412180652	2	5	1	25632
33725	20190421135537	2	13	1	5100
57959	20190418212152	1	5	1	26098
188878	20190410000000	1	5	1	141
168289	20190410112437	2	7	1	8888
97099	20190422172610	2	5	2	1800
236385	20190422164106	2	0	1	2000
25315	20190418140842	2	5	1	1280
22431	20190411153911	2	5	2	842
238142	20190419151059	2	13	2	6000
113116	20190417173842	2	13	2	9997
43233	20190412000000	1	13	1	5399
84174	20190422113638	2	13	1	6000
54721	20190418190209	2	13	1	2100
59963	20190418102736	2	13	1	8500
36500	20190418141631	1	10	2	2500
72811	20190415153224	2	10	2	30000
14011	20190413115032	2	10	2	16100
221839	20190418180012	2	10	2	650
10327	20190414000000	1	13	2	5681
148251	20190410000000	1	0	2	51
189301	20190410000000	1	5	1	24000
3519	20190419191357	2	13	1	5100
207077	20190417180905	2	5	2	900
203182	20190416162351	2	5	2	530
242119	20190413203059	1	5	2	2050
43146	20190418163648	1	10	2	4056
108792	20190414103527	2	5	2	824
36632	20190422144923	2	5	1	20000
178615	20190417112303	2	13	2	6000
214536	20190416162814	2	10	2	3050
136711	20190411180535	2	10	2	3000
115006	20190418173819	2	5	1	7464
158093	20190411102342	2	13	2	3800
47244	20190416185218	1	0	2	66
136797	20190411175902	1	13	1	2413
99714	20190417164057	1	5	2	1000
55875	20190417135001	2	5	2	1666
94042	20190410114714	2	0	2	50
13152	20190420224155	2	10	2	3500
162490	20190419111423	1	13	2	29500
221358	20190410000000	1	13	2	8500
43497	20190414053652	1	0	2	71
145223	20190416112221	2	5	2	770
247169	20190410171500	2	10	2	4500
139795	20190419140851	2	5	1	151
120200	20190417111352	2	5	1	800
77655	20190410161936	1	5	1	7880
124302	20190417105829	2	10	2	6520
91010	20190410000000	1	13	2	6100
104901	20190411000000	1	0	2	100
214655	20190410102922	2	7	2	8888
148729	20190414143049	2	13	2	200
41297	20190410170030	2	13	1	3200
179929	20190417102805	2	5	1	1288
230606	20190416152600	2	0	2	251
51667	20190418102434	1	13	2	2000
25911	20190416172255	2	5	1	1280
113757	20190412180441	2	4	2	1300
216529	20190411151509	2	5	1	1238
14192	20190410112215	2	13	2	2410
242904	20190410232422	1	10	2	2700
14919	20190419154336	2	5	2	910
79157	20190419053316	1	0	2	90
226166	20190412054408	1	0	2	129
239218	20190410000000	1	5	1	930
210386	20190419053204	1	0	2	125
149962	20190416132750	1	5	2	586
65191	20190418160201	2	5	2	10099
96039	20190410000000	1	5	1	1000
62665	20190411094233	2	5	1	4100
186966	20190410145257	2	10	2	5521
160349	20190419112909	2	3	2	500
241696	20190416140128	2	10	2	18000
18585	20190410183321	2	5	1	4633
30984	20190417000000	1	3	2	660
217564	20190422154438	2	10	2	3829
49038	20190420150311	1	9	2	1360
23898	20190417170307	1	0	2	200
82758	20190410000000	1	0	2	150
242731	20190411234328	1	0	2	90
44675	20190412105721	2	0	2	80
131237	20190419154258	2	10	2	2500
84299	20190416184839	2	13	1	5000
218638	20190410145447	2	10	2	5525
225530	20190412154905	2	0	2	50
50748	20190422143619	2	13	1	8558
8362	20190410000000	1	5	2	320
252713	20190422183442	1	10	1	1300
137478	20190415101725	1	10	2	19400
180749	20190416154800	2	5	2	19500
136415	20190413120229	2	11	2	22899
202645	20190411165010	2	5	1	13200
26917	20190412143617	2	10	2	970
162010	20190415094256	2	5	1	8579
137673	20190410000000	1	5	1	8056
138335	20190416182641	2	5	2	9888
186879	20190419102453	2	10	2	3050
142705	20190410000000	1	0	1	160
161177	20190419223745	1	13	2	23200
132961	20190411190026	2	0	2	221
9842	20190416091133	1	10	2	12011
84947	20190420132454	2	5	2	9066
11915	20190419112000	2	5	1	1356
87427	20190411212028	2	13	1	8900
131802	20190412092044	1	5	1	12300
200416	20190420114800	2	0	2	280
179073	20190418214045	2	11	2	30000
19558	20190410000000	1	5	2	1600
196415	20190410000000	1	5	2	1500
206862	20190416160437	2	4	2	1300
100066	20190412163058	2	10	2	5200
54020	20190418061037	1	3	2	1600
258848	20190410000000	1	5	2	661
206840	20190417205334	2	5	1	11511
153229	20190410103626	2	7	1	3044
30610	20190419101531	2	4	2	1300
3724	20190420151719	1	10	2	1777
162023	20190412142147	2	10	1	1678
105139	20190410000000	1	2	1	1000
33784	20190411114654	1	5	2	286
17296	20190415141728	1	0	2	135
4789	20190412000000	1	10	2	2500
62598	20190410000000	1	5	1	498
17622	20190410000000	1	5	1	1200
155076	20190418100802	2	5	1	8066
190493	20190422160542	2	5	1	1920
102152	20190420161039	2	5	1	8000
199369	20190419145712	1	0	2	331
244953	20190418171633	2	10	2	3000
664	20190412053624	1	0	2	44
192138	20190413152440	2	0	2	250
87303	20190415114801	2	5	1	3603
135498	20190417101053	2	5	2	5298
