1	1554363161	4400	-1	6	151	10
2	1554872693	11208	5707	2	12	8
3	1555559288	5207	6563	2	149	8
5	1551426720	6539	7394	1	56	16
6	1554373097	10828	1017	4	16	7
7	1555573833	583	1278	4	159	7
8	1555324678	5504	3689	4	187	7
4	1555930294	7705	-1	6	151	8
9	1555312622	2925	5487	3	72	16
10	1554896648	12099	792	3	167	4
11	1555559288	5386	3843	2	125	7
12	1555502513	5544	2801	4	187	7
13	1555484911	3167	3425	4	187	7
14	1551758127	11589	-1	6	159	16
15	1555579069	10125	6524	4	159	8
16	1555573073	8943	-1	6	4	15
17	1554965251	7598	4552	4	149	7
18	1554714082	3256	3174	4	26	7
19	1555669955	3465	6770	3	79	16
21	1555315582	3235	-1	6	9	16
20	1554886162	9285	2125	3	147	10
22	1555987745	4535	3455	3	147	7
23	1554280813	5379	4619	4	16	8
24	1555120870	6571	1834	2	12	8
25	1554280813	3709	1856	4	148	8
26	1555315583	1434	-1	6	151	7
27	1555919852	9208	-1	6	57	7
28	1549057232	3526	-1	6	48	7
29	1555292897	3595	-1	6	146	4
30	1555309237	7299	4632	2	12	8
31	1552446471	4219	-1	6	196	7
32	1555658795	9973	202	2	12	7
33	1555054510	11364	4714	4	31	8
34	1555486540	10505	2049	2	12	8
35	1555898754	9339	-1	6	196	8
36	1555398304	5572	2966	4	159	7
37	1554586544	11850	4255	1	59	4
38	1555402711	2719	4948	4	164	7
39	1553054488	10290	-1	6	57	7
40	1552613696	3967	-1	7	159	7
41	1555742693	6068	4120	2	12	8
42	1555292897	6986	1591	3	147	4
43	1555673108	6317	5950	2	159	7
44	1555748620	4382	3183	4	126	10
45	1555410369	4044	2713	4	12	3
46	1555409165	4965	-1	6	159	16
48	1555748620	3378	6351	4	187	7
49	1554717563	5274	3425	4	187	7
47	1555931120	11654	6478	3	5	8
50	1554695201	4812	4632	2	12	7
51	1554779816	4654	2383	4	12	10
52	1552539671	3370	3187	2	159	8
53	1555666926	3473	3082	2	12	7
54	1555322052	3068	-1	6	159	15
55	1555649509	7057	205	4	186	7
56	-1	11454	2178	3	72	-1
57	1554695201	7532	4274	4	16	8
58	1555499189	9484	310	3	82	7
59	1555131883	9925	4313	4	16	7
60	1556005027	8815	1017	4	16	7
61	1555663147	4475	1257	3	66	15
62	1553060429	2938	-1	6	57	7
63	1555499190	8622	3477	3	82	16
